"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LINC01881",73.8792084190885,-0.439336149034743,0.230176177822788,-1.90869512731672,0.0563014321223919,0.139875340696271
"GNL2",1124.89593579971,0.237340586669688,0.124365867045254,1.90840615925047,0.0563387414013804,0.139948540470384
"PTMA",27846.960207696,0.204936407517686,0.10739251587451,1.90829319761125,0.0563533317124975,0.139965292549085
"SEMA4G",7.83620393255978,-1.21502380206668,0.636788085581567,-1.90805046384783,0.056384694246786,0.140023691490209
"POLG",1868.46404293742,0.177227527335921,0.0928890638215124,1.90794825617433,0.0563979043856125,0.140037001451915
"EMC1-AS1",11.1616313226037,0.846441823924255,0.443746323123623,1.90749033809672,0.0564571210212831,0.140145021538776
"TWF1",549.67648409342,0.316193286152071,0.165762514547336,1.90750778012466,0.0564548645211259,0.140145021538776
"UMODL1",3.68480832774309,1.64868916335547,0.864437829373459,1.90723856283619,0.0564897019121622,0.140206386908188
"XYLT1",1838.79174094259,0.387451716591276,0.203172771789056,1.90700610706609,0.0565197966647483,0.140261565512769
"VAMP8",3143.84954432752,-0.197003693484015,0.103313279482834,-1.9068574192028,0.0565390534505254,0.140289836618511
"LMO2",1722.28089220932,-0.269588094938891,0.141393357623313,-1.90665317996834,0.0565655136789212,0.140335971210653
"B4GALT7",398.235102240424,0.222493670970867,0.116702967830579,1.90649539687685,0.0565859623345846,0.140367180659758
"IL13RA1",3513.98794546122,-0.201399446725436,0.105666456689732,-1.90599224233291,0.0566512121549103,0.140509499780213
"RXFP4",43.2289966920558,-0.57382710712143,0.301078805458274,-1.90590336057699,0.0566627449766952,0.140518565952216
"USP4",2944.26619587402,0.154331894134851,0.0810313468164356,1.90459495242585,0.0568327432340729,0.140900969257734
"DNAJC21",968.331005596087,0.198263865667773,0.104096527977708,1.90461554789061,0.0568300640321438,0.140900969257734
"PLCE1",8.12881811201066,-0.976493891204285,0.512756968125367,-1.90439906604163,0.0568582307571486,0.140944569239302
"KCTD13-DT",3.01357425427977,-1.60421606721094,0.842717999916293,-1.90362145743924,0.0569595022026434,0.141175990036231
"ADAT1",292.052948029347,-0.230755383918989,0.121223657611316,-1.90355074633097,0.0569687186652921,0.141179216942412
"MOSPD3",246.979901134867,0.339637764190826,0.178434148065936,1.90343478460928,0.0569838357636666,0.141197063807791
"ZNF699",97.6777112933189,0.294634568353514,0.15480490686419,1.90326375514697,0.0570061377392313,0.141232706248946
"RN7SL385P",2.32465900246873,2.06729017163161,1.08626600803035,1.90311595534512,0.0570254164516754,0.141260849696568
"PRF1",89.5890822915411,-0.969165455676531,0.509297587173206,-1.90294531151378,0.0570476816396503,0.141276765943091
"UBAC1",1362.45810576569,-0.173901572855986,0.091383470294145,-1.90298718462138,0.0570422174699789,0.141276765943091
"NCKIPSD",214.614257997084,-0.2838389925998,0.149181713551965,-1.90263931042011,0.0570876260219588,0.141356062323668
"DRD4",7.07208927681118,0.858234487470433,0.451162005446814,1.90227562850837,0.0571351301240432,0.141454052901136
"SULT1A3",2.27096006631005,-1.43069034117507,0.752237311242525,-1.9019135581189,0.0571824563868126,0.141551576051619
"SIRPB3P",3.42812303547754,-1.69197125674404,0.889934838814731,-1.90123049795141,0.0572718280404021,0.141746180622645
"ITGAV",339.502016913392,-0.306997628238059,0.161481609726963,-1.90113059163293,0.057284909525095,0.141746180622645
"E2F3",864.904402323906,0.232858938177389,0.122483213592116,1.90114980941664,0.0572823930033154,0.141746180622645
"RB1CC1",1672.54281512957,0.23933851186953,0.125899018468508,1.90103556628917,0.0572973542128341,0.141757309909644
"AK1",7.85532062566141,0.981298998463941,0.516312095259326,1.90059269862943,0.057355382608695,0.141861524538811
"ADGRD1",321.682601388127,0.311877015767252,0.164091179058565,1.90063242617046,0.0573501751640347,0.141861524538811
"P4HA1",695.320235458492,-0.212022151632562,0.111562980055005,-1.90047049234456,0.0573714037463331,0.14186910437755
"BTBD11",281.833928914125,0.38557358050001,0.202885625689123,1.9004479947279,0.0573743535698872,0.14186910437755
"DUSP16",98.9523126513621,0.350281506319951,0.184322602472692,1.90037196535268,0.0573843232588237,0.141874089853208
"C1ORF116",3.14937103255665,1.19936558528672,0.631148031146696,1.90029204893132,0.057394804206846,0.141876595328306
"RINL",231.628071696346,-0.261539217114645,0.137634620204355,-1.90024295287277,0.0574012438885741,0.141876595328306
"UTP14A",365.335494710265,-0.177388294528873,0.0933749092855179,-1.89974261700712,0.057466904681443,0.141960205748176
"LRRC34",6.5658465024273,-1.03607839920518,0.545356363855285,-1.89981903187272,0.0574568724574583,0.141960205748176
"TRPM6",12.0965218196821,1.18494710231076,0.623703905250939,1.89985519143737,0.0574521257100943,0.141960205748176
"ADCY9",731.685462699955,0.267594053242638,0.140856618010612,1.899762020571,0.0574643571216296,0.141960205748176
"CRYM-AS1",4.58997232850138,1.08072844856132,0.569088725849576,1.89905088516369,0.0575577858725585,0.142165021378385
"TFDP2",152.081766010096,0.338649113094503,0.178350324066958,1.8987860822017,0.0575926078582802,0.142231335868199
"MSN",36162.0940738001,0.130359495090191,0.0686695492557664,1.89835955679066,0.0576487334134222,0.142350236244273
"SRP54-AS1",5.20634604159976,-0.94018319843019,0.495424703697006,-1.89773176713689,0.0577314256056497,0.142534694803264
"ANKRD40",444.045702173609,-0.185817823080313,0.097946717386535,-1.89713170628277,0.057810557512122,0.142710313437757
"CDK5RAP3",221.237580286081,0.451364718486997,0.237942589086647,1.89694800001791,0.0578348014510294,0.142750406570287
"FBXL19-AS1",28.1371388385037,0.56559561884395,0.298174079857755,1.8968638022251,0.0578459159598586,0.142758086454338
"PIK3CD-AS1",20.7353673672473,-0.534160060193232,0.281697656283692,-1.89621762296556,0.0579312738007136,0.142948964179987
"SPDYE6",51.9722467753404,-0.529148117822393,0.279092856921307,-1.89595722247951,0.0579657013010804,0.14301413275362
"NUP93",1098.27249465696,-0.130513277021626,0.0688452333294843,-1.89574892421391,0.0579932526152564,0.143062320585112
"ZNF791",540.478164596485,0.331585679602322,0.174919065377083,1.89565201990706,0.0580060737180965,0.143074162470051
"CBFB",945.655084398963,-0.126804900693073,0.066897546044254,-1.89550900131955,0.0580250003593158,0.14310105853857
"NUDT12",25.7588235769527,-0.811958278193292,0.428386475294152,-1.89538728466103,0.0580411120105607,0.143121005812052
"PCBP1",51.2154739931605,0.467092480294603,0.246454494474593,1.89524837552823,0.0580595039741806,0.143146569715471
"RAD51",7.23079293123589,-0.835681041635771,0.441024935434874,-1.89486120736404,0.0581107917001496,0.143233425776878
"APOL6",2088.43143171114,0.231212809950053,0.12202083481611,1.89486336737902,0.058110505461031,0.143233425776878
"IL34",1.2828569188723,2.02837945096672,1.07057026414787,1.89467195091694,0.0581358759816465,0.143275456722936
"CDHR2",18.3375025341419,0.505086906613006,0.266604231409644,1.89451946783593,0.0581560928201124,0.143305481934682
"CCDC188",27.27600793143,0.632742932429011,0.334001194432913,1.89443314268178,0.0581675407559957,0.143313893923405
"MED12",901.775207170448,-0.2512438063447,0.132637392004592,-1.89421551907475,0.0581964090331082,0.143345421752635
"CDS2",1147.31084409621,0.217588059637002,0.114868598737903,1.89423447336966,0.0581938942287029,0.143345421752635
"UPK3B",10.7419180336339,0.714793506662924,0.377379628860935,1.89409669202448,0.0582121767410841,0.143364463441593
"HLA-DRB1",22127.5588917749,0.335087518543207,0.176957375449748,1.89360583412566,0.0582773485530831,0.143505155092476
"FZD8",8.88060191612145,1.0743389582368,0.567401039906143,1.89343847239777,0.0582995832297693,0.143540091877519
"RNA5SP207",6.36818337275787,1.04122422769198,0.549951298588312,1.89330260763949,0.0583176385901558,0.143564730495611
"MBD1",1556.98181244976,0.184906958230593,0.0976688932671124,1.8932021449746,0.058330992277244,0.14357778946343
"PSMF1",2081.01533402139,0.12938099673326,0.0683553321485643,1.89277109285434,0.058388317373572,0.143695490694121
"CEP83-DT",4.72082630751389,1.30567153382237,0.689838185246305,1.89272145518617,0.0583949216303218,0.143695490694121
"OPRL1",43.1989667083994,-0.735951805155791,0.388850966657764,-1.89263205767858,0.0584068174707893,0.143704939316405
"IRF2-DT",73.3816274281128,0.490551440904829,0.259199566356203,1.89256273766559,0.058416043048804,0.143707816288038
"HSP90AB4P",8.98014713670212,1.15431324009263,0.609951485610948,1.89246729834001,0.0584287467427481,0.143719247710582
"GASK1B-AS1",72.596655191296,-0.434207374113601,0.229475903230785,-1.89216980083925,0.0584683606295841,0.143777035692104
"GNG7",148.904275875906,0.378347905069116,0.199953186852463,1.89218242041965,0.058466679790643,0.143777035692104
"DGKZ",5146.44352128849,-0.19214389187762,0.101582178126503,-1.89151183230526,0.0585560530058371,0.143923661403873
"ARHGAP42",2.97264186127043,1.55821268107275,0.823805935151519,1.89148028022662,0.0585602609299985,0.143923661403873
"SLC16A4",9.00032669811228,-0.866328247418213,0.458008036954163,-1.89151319959242,0.0585558706640761,0.143923661403873
"SNORA77",2.52160512035806,-1.61307331320934,0.852772440472593,-1.89156360671717,0.0585491486863788,0.143923661403873
"RPL27",6865.41560000093,-0.212685132802767,0.112459662162151,-1.89121262427504,0.0585959668087746,0.143991576792247
"CBLL1",428.474979526587,-0.281878132523418,0.149075190843405,-1.89084535749154,0.0586449904107027,0.144072350770709
"GDPD3",35.1714094521527,-0.560407530560647,0.296372446167302,-1.8908894460597,0.0586391035703831,0.144072350770709
"MED31",17.4025673138539,-0.655147864641754,0.34655770975051,-1.89044377374666,0.0586986336968511,0.144184278144372
"RUNDC3A",4.54631263981677,1.16228982141332,0.614858697787592,1.8903364717707,0.0587129739186941,0.144199645981229
"KIF18A",7.07896916336557,1.13372670678844,0.599878644177907,1.88992676734165,0.0587677550541228,0.144311335132424
"SYNPO",6.39046220531777,1.56045422627478,0.825691603227126,1.88987537256757,0.0587746299886232,0.144311335132424
"SLC25A4",3.63408051069018,-1.12281118060268,0.594211078901807,-1.88958304627676,0.0588137463577339,0.144387504476914
"LIMD1",486.397893205804,-0.237953318130497,0.125936067837181,-1.88947711499251,0.05882792642561,0.144402442765932
"CHN2-AS1",3.80291993844975,-1.40444907445467,0.743431927557432,-1.88914280164027,0.0588726965626645,0.144492454772263
"PPT1",10641.0723233706,-0.263524733845575,0.139535175557453,-1.88858997591664,0.0589467912154404,0.144641233317714
"RNF146",603.609628873517,-0.201963233721908,0.106939840203217,-1.88856868813455,0.0589496459418155,0.144641233317714
"RNVU1-7",3.39222368494891,1.53250971254263,0.811491846498343,1.88850907024579,0.058957641408964,0.144641233317714
"PRAG1",78.5452783690759,-0.486300816010668,0.257528810776549,-1.88833557901457,0.0589809137661666,0.144678429560077
"ENPP4",94.8362697721124,0.619627319383869,0.328146604735728,1.88826369202535,0.0589905590221154,0.144682193295269
